Date,Type,Class,Color,Weight,Price(C)
2022-06-14,R,Steer,BLK,580,160
2022-06-14,R,Heifer,BLK,670,180
2022-06-14,R,Steer,BLK,400,232.5
2022-06-14,R,Steer,BLK,795,164
2022-06-14,SL,Cow,BLK,1720,100.5
2022-06-14,SL,Cow,TAN,1345,93
2022-06-14,SL,Bull,BLK,2255,124
,,,,,
2022-11-22,PS,Steer,BLK,625,202.5
2022-11-22,PS,Steer,BLK,560,266.25
2022-11-22,PS,Steer,BLK,643,256.5
2022-11-22,PS,Steer,BBF,636,235.25
2022-11-22,PS,Steer,BLK,570,220.5
2022-11-22,PS,Steer,BLK,503,294.25
2022-11-22,PS,Steer,BLK,510,145
2022-11-22,PS,Steer,BLK,512,249
2022-11-22,PS,Steer,RBL,562,263.5
2022-11-22,PS,Steer,BLK,393,300.5
2022-11-22,PS,Steer,BLK,718,196.75
2022-11-22,PS,Steer,BLK,684,245
2022-11-22,R,Steer,BLK,602,181
2022-11-22,PS,Steer,SILV,597,255.5
2022-11-22,PS,Heifer,BLK,776,169
2022-11-22,PS,Steer,SILV,481,277.75
2022-11-22,PS,Steer,SILV,684,246.5
2022-11-22,PS,Steer,BBF,670,248
2022-11-22,SL,Cow,TAN,1255,40
2022-11-22,SL,Cow,BLK,1340,81.5
2022-11-22,SL,Cow,BLK,2095,87
,,,,,
2022-05-03,R,Heifer,BLK,530,211.5
2022-05-03,R,Heifer,BLK,679,188.5
2022-05-03,R,Heifer,BLK,785,176.5
2022-05-03,R,Heifer,BLK,845,169.5
2022-05-03,R,Steer,BLK,632,231.5
2022-05-03,R,Steer,BLK,535,250
2022-05-03,R,Steer,BLK,875,186.5
2022-05-03,R,Steer,BLK,700,183
2022-05-03,R,Steer,BLK,540,230
2022-05-03,R,Heifer,BLK,482,208
2022-05-03,R,Bull,BLK,695,185
2022-05-03,R,Heifer,BLK,665,146
2022-05-03,R,Steer,BLK,672,191
2022-05-03,R,Bull,BLK,400,226
2022-05-03,R,Bull,BLK,545,207
2022-05-03,R,Steer,Grey,520,240.5
2022-05-03,R,Steer,BLK,1125,112
2022-05-03,R,Heifer,BLK,985,111
2022-05-03,SL,Cow,BKWH,1193,84.75
2022-05-03,SL,Cow,BLK,1320,87.5
2022-05-03,SL,Cow,BLK,1205,100.5
2022-05-03,SL,Cow,BWF,1190,83.5
2022-05-03,SL,Cow,BLK,1225,66
2022-05-03,SL,Cow,RED,1090,52
,,,,,
2022-04-26,PS,Heifer,RDSL,725,181.5
2022-04-26,PS,Heifer,BLK,780,178
2022-04-26,PS,Heifer,BLK,726,180.5
2022-04-26,PS,Heifer,BLK,619,194.75
2022-04-26,R,Heifer,RBF,660,192
,,,,,
2021-09-15,SL,Bull,BLK,2425,113.5
,,,,,
2021-04-24,BR,Cow,BLK,1320,111.75
2021-04-24,BR,Cow,BLK,1115,130
2021-04-24,BR,Cow,BLK,1435,104.5
2021-04-24,BR,Cow,BLK,1150,139
,,,,,
2021-04-20,R,Heifer,BBF,365,160
2021-04-20,SL,Cow,BLK,1490,86.75
2021-04-20,SL,Cow,BBF,1350,80.25
2021-04-20,SL,Bull,BLK,2345,109.25
,,,,,
2021-03-16,PS,Steer,BLK,795,183.75
2021-03-16,PS,Steer,BLK,600,228.75
2021-03-16,PS,Steer,BLK,634,185
2021-03-16,PS,Steer,SILV,495,247
2021-03-16,PS,Heifer,BLK,504,202
2021-03-16,PS,Steer,BLK,648,213
2021-03-16,PS,Heifer,RBF,692,185
2021-03-16,PS,Steer,RED,557,223
2021-03-16,PS,Steer,BLK,674,192.25
2021-03-16,R,Steer,BLK,543,210
2021-03-16,PS,Steer,BLK,744,182.5
2021-03-16,PS,Steer,BLK,682,145
2021-03-16,PS,Heifer,BLK,710,174.5
2021-03-16,PS,Heifer,BLK,710,169
2021-03-16,PS,Heifer,BLK,670,183.75
2021-03-16,PS,Heifer,BLK,591,187.75
2021-03-16,PS,Heifer,BBF,583,189.75
,,,,,
2021-03-02,PS,Steer,BLK,659,208.25
2021-03-02,PS,Steer,BLK,783,179.25
2021-03-02,PS,Steer,BLK,598,227
2021-03-02,PS,Heifer,BLK,524,204.5
2021-03-02,PS,Heifer,BLK,581,187.5
2021-03-02,R,Steer,BLK,797,150
2021-03-02,R,Steer,BBF,711,171
2021-03-02,PS,Steer,BLK,487,240
2021-03-02,PS,Steer,BLK,394,258
2021-03-02,PS,Heifer,BLK,662,176.5
2021-03-02,PS,Steer,BLK,699,191.5
2021-03-02,PS,Steer,BLK,514,223.5
2021-03-02,PS,Heifer,SILV,543,207
2021-03-02,R,Steer,BLK,692,16.5
2021-03-02,PS,Steer,BLK,552,161
2021-03-02,PS,Heifer,BLK,888,155.5
2021-03-02,SL,Cow,BLK,1855,76.25
,,,,,
2021-11-30,PS,Steer,BLK,748,181.75
2021-11-30,PS,Steer,BLK,602,197
2021-11-30,PS,Steer,BLK,627,180.5
2021-11-30,PS,Steer,BLK,522,230.5
2021-11-30,R,Steer,RED,615,195
2021-11-30,R,Steer,BLK,600,180.5
2021-11-30,R,Steer,RED,625,159
2021-11-30,R,Steer,BLK,520,190
2021-11-30,R,Steer,BLK,425,236
2021-11-30,R,Steer,BLK,510,206
2021-11-30,R,Steer,GREY,485,207
2021-11-30,R,Heifer,BLK,660,169
,,,,,
2020-02-04,PS,Steer,BLK,712,209.25
2020-02-04,R,Steer,BLK,995,126
2020-02-04,R,Steer,BLK,825,137
2020-02-04,PS,Heifer,RED,475,196
2020-02-04,PS,Steer,BLK,435,250.5
2020-02-04,PS,Heifer,BLK,699,171.75
2020-02-04,PS,Heifer,BLK,830,163.25
2020-02-04,PS,Heifer,BLK,725,162.25
2020-02-04,PS,Heifer,RED,806,165.25
,,,,,
2020-03-24,R,Steer,BLK,710,180.5
2020-03-24,R,Steer,BLK,700,183.5
2020-03-24,R,Heifer,BLK,750,145
2020-03-24,R,Heifer,BLK,695,171.5
2020-03-24,R,Heifer,BBF,685,158
2020-03-24,R,Heifer,BLK,655,176
2020-03-24,R,Steer,RWF,700,186.5
2020-03-24,R,Steer,BLK,810,160
2020-03-24,R,Heifer,BBL,815,154.5
2020-03-24,R,Heifer,BLK,560,185.5
2020-03-24,R,Steer,BBF,650,201
2020-03-24,R,Steer,BLK,545,202
2020-03-24,R,Steer,RBF,680,179
,,,,,
2020-12-01,R,Steer,BLK,765,171
2020-12-01,R,Steer,BLK,730,180
2020-12-01,R,Steer,BLK,636,186
2020-12-01,R,Steer,BLK,645,184
2020-12-01,R,Steer,RED/BL,637,169
2020-12-01,R,Heifer,BLK,570,175
2020-12-01,R,Steer,GWF,645,171
2020-12-01,R,Steer,RED/BL,725,149
2020-12-01,R,Steer,BLK,720,156
2020-12-01,R,Steer,BLK,735,140
2020-12-01,R,Steer,BLK,625,168
2020-12-01,R,Steer,BLK,645,158
2020-12-01,R,Bull,BLK,930,120
2020-12-01,SL,Cow,TAN,1570,61.25
,,,,,
2020-08-11,R,Steer,BLK,795,183.5
2020-08-11,R,Steer,BLK,745,184.5
2020-08-11,R,Heifer,SIL,685,170
2020-08-11,R,Heifer,BKWH,830,168
2020-08-11,R,Bull,BLK,590,189.5
2020-08-11,R,Heifer,BLK,660,173.5
2020-08-11,R,Heifer,BLK,650,151.5
2020-08-11,SL,Cow,BLK,1260,89.5
2020-08-11,SL,Cow,BLK,1415,94.5
2020-08-11,SL,Cow,RBL,1625,86.5
2020-08-11,SL,Cow,BLK,1470,85.75
2020-08-11,SL,Cow,TAN,1650,84.25
2020-08-11,SL,Cow,BLK,1195,74.75
2020-08-11,SL,Bull,BLK,1995,115.25
